generic_name_clean,common_side_effects,less_common_side_effects,rare_side_effects,postmarketing_side_effects,unknown_frequency_side_effects
riociguat,"abdominal distension, abdominal pain, anaemia, angiopathy, cardiac disorder, constipation, diarrhoea, dizziness, dyspepsia, dysphagia, epistaxis, gastritis",,,,
risperidone,"abdominal discomfort, abdominal distension, abdominal pain, abdominal pain upper, abscess, accommodation disorder, acne, acute coronary syndrome, affect lability, affective disorder, aggression, agitation","adenocarcinoma, adenoma benign, anaphylactoid reaction, autonomic nervous system imbalance, bipolar disorder, bipolar i disorder, blood disorder, blood iron decreased, blood testosterone decreased, breast discharge","cholinergic syndrome, chorea, dandruff, diabetic coma, diabetic hyperglycaemic coma, diabetic ketoacidosis, drug withdrawal syndrome neonatal, eye movement disorder","atrial septal defect, breast feeding, bundle branch block left, cardio-respiratory arrest, circumoral oedema, congenital central nervous system anomaly, electrocardiogram qt interval abnormal, floppy iris syndrome","acarodermatitis, albinism, antidiuretic hormone abnormality, athetosis, blood antidiuretic hormone abnormal, blunted affect, brain neoplasm, emprosthotonus"
ritonavir,"abdominal distension, abdominal pain, abnormal dreams, acne, acute coronary syndrome, affect lability, ageusia, agitation, albuminuria, alcohol intolerance, amblyopia, amnesia","abnormal faeces, acute leukaemia, acute myeloid leukaemia, adrenal insufficiency, atrioventricular block complete, bundle branch block right, cerebral ischaemia, colitis ulcerative, coma, cushing's syndrome","atrioventricular block second degree, coma hepatic, diarrhoea haemorrhagic, enzyme abnormality, hormone level abnormal, ileitis, ophthalmoplegia, secondary adrenocortical insufficiency","factor viii deficiency, fasting, haemophilia","cerebral venous thrombosis, myeloproliferative disorder, retinogram abnormal, xanthomatosis"
rivaroxaban,"abdominal pain, abdominal pain upper, agranulocytosis, amylase increased, anaemia, anaphylactic shock, angina pectoris, angioedema, angiopathy, asthenia, back pain, bilirubin conjugated increased","pruritus generalised, retroperitoneal haemorrhage, subdural haematoma, wound haemorrhage","haemarthrosis, muscle haemorrhage","epidural haemorrhage, vascular pseudoaneurysm","bronchiectasis, hypoperfusion"
rizatriptan,"abdominal discomfort, abdominal distension, acute coronary syndrome, agitation, akinesia, anaphylactic shock, angina pectoris, angioedema, anxiety, arrhythmia, arthralgia, asthenia","anaphylactoid reaction, eye swelling, hyperacusis, ischaemia, paralysis, pharyngeal oedema, presyncope, sinus disorder, swollen tongue, temperature intolerance","arteriospasm coronary, serotonin syndrome, vasospasm","eye burns, prinzmetal angina",medication overuse headache
rocuronium,"anaphylactic shock, apnoea, arrhythmia, asthma, bronchospasm, cardiovascular disorder, dermatitis, electrocardiogram abnormal, hiccups, hypersensitivity, hypertension, hypotension","anaphylactoid reaction, paralysis, respiratory failure, rhonchi",,,"vascular resistance pulmonary increased, vascular resistance systemic"
roflumilast,"abdominal pain, angioedema, anxiety, asthenia, atrial fibrillation, back pain, cardiac disorder, connective tissue disorder, constipation, decreased appetite, depression, dermatitis","completed suicide, haematochezia, lung neoplasm malignant, prostate cancer",,,
ropinirole,"abdominal discomfort, abdominal distension, abdominal pain, abdominal pain lower, abdominal pain upper, abnormal dreams, abscess, accommodation disorder, acne, actinic keratosis, acute coronary syndrome, affect lability","abdominal adhesions, acidosis, adenocarcinoma, anaemia vitamin b12 deficiency, anaplastic thyroid cancer, angina unstable, angiomyolipoma, appendicitis, arteriosclerosis, arteritis","blindness transient, brain neoplasm benign, calculus bladder, cardiac fibrillation, dupuytren's contracture, endometrial cancer, enzyme abnormality, fall","cardiac valve disease, therapeutic response decreased","blood electrolytes abnormal, cerebral atrophy, neuroma, poliomyelitis, therapeutic response increased, vocal cord paralysis"
rosuvastatin,"abdominal pain, amnesia, angioedema, arrhythmia, arthralgia, asthenia, blood creatine phosphokinase increased, breast disorder, bronchitis, confusional state, constipation, cough","blood disorder, cognitive disorder, drug interaction, myositis, nephropathy, rhabdomyolysis",,"immune-mediated necrotising myopathy, muscle swelling, musculoskeletal disorder, myoglobin urine present, myoglobinuria",
rotigotine,"abnormal dreams, aggression, agitation, angioedema, angiopathy, arthralgia, asthenia, balance disorder, breast disorder, compulsions, confusional state, connective tissue disorder","binge eating, compulsive shopping, hypersexuality, malignant melanoma, obsessive-compulsive disorder, pathological gambling, sudden onset of sleep, tongue disorder, tongue oedema","electrocardiogram t wave abnormal, fall, hyperpyrexia, papule","eating disorder, white blood cells urine positive","lip oedema, lipoedema, stereotypy"
rufinamide,"abdominal pain upper, acne, aggression, agitation, anaemia, anxiety, asthenia, ataxia, atrioventricular block first degree, back pain, balance disorder, bone disorder","bundle branch block right, ear infection, epilepsy, head injury, iron deficiency anaemia, status epilepticus",,"eating disorder, oligomenorrhoea",
ruxolitinib,"alanine aminotransferase increased, anaemia, asthenia, body temperature increased, bone pain, contusion, dizziness, epistaxis, fatigue, flatulence, gastrointestinal disorder, gastrointestinal haemorrhage","blood pressure systolic increased, prostate cancer",,,"kidney infection, urosepsis"
sacrosidase,"abdominal pain, asthma, constipation, dehydration, diarrhoea, gastrointestinal pain, headache, hypersensitivity, insomnia, nausea, nervousness, tension",,,,
salsalate,"abdominal pain, anaphylactic shock, angioedema, bronchospasm, deafness, dermatitis, diarrhoea, gastrointestinal pain, haemoglobin, haemorrhage, hearing impaired, hepatitis",nephritis,blood creatinine decreased,,
saxagliptin,"abdominal pain, anaphylactic shock, angioedema, arthralgia, asthenia, blood creatine phosphokinase increased, blood creatinine increased, blood triglycerides increased, dermatitis, dizziness, dyspepsia, erectile dysfunction",dyslipidaemia,,idiopathic thrombocytopenic purpura,salmonella sepsis
scopolamine,"abdominal pain, accommodation disorder, agitation, amblyopia, amnesia, application site burn, application site pain, arrhythmia, asthenia, body temperature increased, bradycardia, confusional state","angle closure glaucoma, heat stroke, poisoning, temperature intolerance",eyelid irritation,"acute psychosis, cycloplegia, procedural nausea",heat exhaustion
sertraline,"abdominal distension, abdominal pain, abnormal dreams, accommodation disorder, acute coronary syndrome, affect lability, aggression, agitation, agranulocytosis, akathisia, alanine aminotransferase increased, alopecia","adenoma benign, anaphylactoid reaction, angle closure glaucoma, aplastic anaemia, arrhythmia supraventricular, atrophic vulvovaginitis, blindness, coma, completed suicide, conversion disorder","electric shock, haemoglobinuria, hyperprolactinaemia, inner ear disorder, intentional self-injury, necrosis, neuroleptic malignant syndrome, premature ejaculation","breast feeding, cerebral vasoconstriction, hepatic adenoma, hyperplasia, hypouricaemia, lupus-like syndrome, peritoneal haemorrhage, pregnancy","adhesion, anxiety disorder, benign neoplasm, obsessive-compulsive personality disorder, stereotypy"
sevoflurane,"agitation, albuminuria, amblyopia, anaphylactic shock, angiopathy, apnoea, arrhythmia, asthenia, atrial fibrillation, body temperature decreased, body temperature increased, bone disorder","acidosis, anaphylactoid reaction, arrhythmia supraventricular, atrioventricular block complete, electrocardiogram st segment depression, electrocardiogram t wave inversion, hypoventilation, increased bronchial secretion, laryngospasm, obstructive airways disorder","atrioventricular block second degree, hepatic necrosis","fluorosis, tonic clonic movements",fluoride increased
sildenafil,"abdominal distension, abdominal pain, abdominal pain upper, abnormal dreams, acute coronary syndrome, agitation, alanine aminotransferase increased, alopecia, anaemia, angina pectoris, angiopathy, anorectal disorder","abnormal sensation in eye, angina unstable, blindness, cardiogenic shock, conjunctival disorder, dissociation, ear disorder, enterocolitis, eye oedema, eye swelling","balanitis, blindness transient, drug effect increased, erection increased, optic ischaemic neuropathy, retinal vein occlusion, vascular anomaly, vitreous detachment","cerebral thrombosis, device malfunction, retinal vascular occlusion, sickle cell anaemia, sickle cell anaemia with crisis, soft tissue disorder, sudden hearing loss, transient global amnesia","arteriosclerotic retinopathy, chloropsia, cyanopsia, erythropsia, iris disorder, sexually transmitted disease, visual brightness"
silodosin,"abdominal pain, angiopathy, asthenia, breast disorder, cardiac disorder, dermatitis, diarrhoea, disturbance in sexual arousal, dizziness, dry mouth, erectile dysfunction, gastrointestinal disorder","drug eruption, ejaculation failure, pharyngeal oedema, priapism, swelling face, swollen tongue","prostatic specific antigen increased, toxic skin eruption","floppy iris syndrome, retrograde ejaculation",
simvastatin,"abdominal discomfort, abdominal pain, alopecia, amnesia, anaemia, anaphylactic shock, angioedema, anxiety, arthralgia, arthritis, asthenia, atrial fibrillation","cognitive disorder, drug interaction, haemolytic anaemia, liver disorder, loss of libido, red blood cell sedimentation rate increased, rhabdomyolysis","antinuclear antibody positive, drug reaction with eosinophilia and systemic symptoms, facial paresis, foetor hepaticus, hepatic cancer, hepatic necrosis, hepatocellular carcinoma, iiird nerve paralysis","breast feeding, dermatomyositis, hepatitis chronic active, immune-mediated necrotising myopathy, lupus-like syndrome, musculoskeletal disorder, peripheral nerve palsy, pregnancy",menarche
sitagliptin,"abdominal discomfort, abdominal pain, abdominal pain upper, anaphylactic shock, angioedema, angiopathy, anxiety, arthralgia, asthenia, back pain, blood creatinine increased, blood glucose increased","blood glucose decreased, hepatic steatosis, tracheobronchitis",pancreatitis necrotising,cutaneous vasculitis,"gastric ulcer helicobacter, helicobacter gastritis"
sofosbuvir,"abdominal discomfort, agitation, alopecia, anaemia, anxiety, arthralgia, asthenia, back pain, blood bilirubin increased, body temperature increased, chest pain, chills",completed suicide,,hepatitis c,
sorafenib,"abdominal discomfort, abdominal pain, abdominal pain lower, abdominal pain upper, abdominal rigidity, acute coronary syndrome, alanine aminotransferase increased, alopecia, amylase increased, anaemia, anaphylactic shock, angioedema","abdominal tenderness, blood pressure systolic increased, completed suicide, drug interaction, hypertensive crisis, hypoalbuminaemia, international normalised ratio abnormal, ischaemia, leukoencephalopathy, nephrotic syndrome","drug-induced liver injury, hepatic cancer, hepatocellular carcinoma, leukocytoclastic vasculitis, prothrombin level abnormal, recall phenomenon, urogenital disorder",,"brain cancer metastatic, burning mouth syndrome, metastases to central nervous system, metastatic renal cell carcinoma, oesophageal discomfort, varices oesophageal"
streptomycin,"amblyopia, anaphylactic shock, angioedema, azotaemia, body temperature increased, deafness, dermatitis, dermatitis exfoliative, eosinophilia, leukopenia, muscular weakness, nausea",haemolytic anaemia,,,abasia
succinylcholine,"anaphylactic shock, apnoea, arrhythmia, body temperature increased, bradycardia, bronchospasm, cardiac arrest, dermatitis, flushing, hyperkalaemia, hypersensitivity, hypertension","anaphylactoid reaction, increased bronchial secretion, intraocular pressure increased, respiratory failure, rhabdomyolysis, sputum increased","myasthenia gravis, porphyrin metabolism disorder","myoglobin urine present, myoglobinuria","myoglobinaemia, tachyphylaxis"
sufentanil,"anaphylactic shock, apnoea, arrhythmia, body temperature increased, bradycardia, bronchospasm, cardiac arrest, chills, confusional state, dermatitis, dizziness, erythema",laryngospasm,miosis,,hypopnoea
sugammadex,"abdominal pain, albumin urine present, anaphylactic shock, angiopathy, back pain, body temperature increased, bradycardia, bronchospasm, cardiac arrest, cardiac disorder, chills, connective tissue disorder","postoperative wound complication, procedural hypotension, swollen tongue",,"grimacing, light anaesthesia","anaesthetic complication, beta 2 microglobulin increased, beta 2 microglobulin urine increased, recurrence of neuromuscular blockade, unwanted awareness during anaesthesia"
sulfadiazine,"abdominal pain, agranulocytosis, anaphylactic shock, arthralgia, ataxia, body temperature increased, burning sensation, chills, convulsion, decreased appetite, depression, dermatitis","anaphylactoid reaction, anuria, aplastic anaemia, blood disorder, haemolytic anaemia, nephrotic syndrome, scleral hyperaemia, serum sickness, tubulointerstitial nephritis","crystalluria, eosinophilic myocarditis, hepatic necrosis, methaemoglobinaemia, polyarteritis nodosa, systemic lupus erythematosus",,"bacterial disease carrier, partner stress"
sulfasalazine,"abdominal pain, agranulocytosis, alopecia, anaemia, anaemia megaloblastic, anaphylactic shock, angioedema, angiopathy, arthralgia, ataxia, azoospermia, body temperature increased","anaphylactoid reaction, anuria, aplastic anaemia, blood disorder, drug eruption, folate deficiency, haemolytic anaemia, haemolytic uraemic syndrome, lichen planus, meningitis","acute generalised exanthematous pustulosis, crystalluria, diarrhoea haemorrhagic, eosinophilic myocarditis, factor ii deficiency, guillain-barre syndrome, hepatic necrosis, hepatitis cholestatic","cauda equina syndrome, infertility, myelitis transverse, pseudomononucleosis","acute interstitial pneumonitis, idiopathic pulmonary fibrosis, pityriasis lichenoides et varioliformis acuta"
sulindac,"ageusia, agranulocytosis, alopecia, anaemia, anaphylactic shock, angioedema, arrhythmia, arthralgia, arthritis, asthenia, body temperature increased, bronchospasm","aplastic anaemia, coma, disseminated intravascular coagulation, haemolytic anaemia, nephrotic syndrome, tubulointerstitial nephritis","crystalluria, drug reaction with eosinophilia and systemic symptoms, leukocytoclastic vasculitis, lymphadenitis, meningitis aseptic","acute psychosis, cellulitis gangrenous, necrotising fasciitis, nephritic syndrome, urine output",
sumatriptan,"abdominal discomfort, abdominal distension, abdominal pain, acute coronary syndrome, aggression, agitation, akathisia, akinesia, anaemia, anaphylactic shock, angina pectoris, angioedema","abortion, anaphylactoid reaction, aortic aneurysm, application site haematoma, arteriosclerosis, blindness, blood disorder, breast discharge, cerebral ischaemia, completed suicide","application site discolouration, arteriospasm coronary, breast swelling, cluster headache, hypervigilance, leukocytoclastic vasculitis, motor dysfunction, muscle fatigue","atrophy, breast feeding, haemorrhage subcutaneous, pregnancy, prinzmetal angina, retinal vascular occlusion, temporal arteritis","application site discomfort, cerebellar infarction, medication overuse headache, musculoskeletal deformity"
suvorexant,"abnormal dreams, blood cholesterol increased, cough, depression, diarrhoea, dizziness, dry mouth, gastrointestinal disorder, headache, infection, infestation, insomnia",,sleep paralysis,cataplexy,hypnopompic hallucination
tacrolimus,"abdominal distension, abdominal pain, abnormal dreams, abscess, acne, activated partial thromboplastin time prolonged, acute coronary syndrome, acute respiratory distress syndrome, affect lability, affective disorder, agitation, agranulocytosis","acidosis, anaphylactoid reaction, anuria, aplasia pure red cell, arrhythmia supraventricular, atrial flutter, bladder cancer, blindness, blindness cortical, blood iron decreased","bile duct stenosis, cardiac fibrillation, congenital cystic kidney disease, cystitis haemorrhagic, echocardiogram abnormal, electrocardiogram qrs complex abnormal, electrocardiogram t wave abnormal, factor ii deficiency","bullous impetigo, cardiac hypertrophy, cardiac valve disease, electrocardiogram st segment abnormal, fasting, graft loss, hypertrophic cardiomyopathy, kaposi's sarcoma","cardiopulmonary failure, epstein-barr virus infection, haemoglobin abnormal, hypertensive nephropathy, mycosis fungoides, papillary thyroid cancer, pneumonia streptococcal, urge incontinence"
tadalafil,"abdominal discomfort, abdominal pain, abdominal pain lower, abdominal pain upper, acute coronary syndrome, amnesia, angina pectoris, angioedema, angiopathy, arthralgia, asthenia, back pain","angina unstable, blindness, haematospermia, menometrorrhagia, penile haemorrhage, priapism, sinus bradycardia, sudden cardiac death","erection increased, optic ischaemic neuropathy, retinal artery occlusion, retinal vein occlusion","limb discomfort, retinal vascular occlusion, spontaneous penile erection, sudden hearing loss, transient global amnesia",
tafluprost,"asthma, blepharal pigmentation, cataract, conjunctival hyperaemia, conjunctivitis allergic, cough, dry eye, dyspnoea, endophthalmitis, erythema of eyelid, eye discharge, eye disorder",,"eyelash discolouration, eyelash thickening",,
tasimelteon,"abnormal dreams, alanine aminotransferase increased, headache, nightmare, upper respiratory tract infection, urinary tract infection",,,,
teduglutide,"abdominal pain, angiopathy, anxiety, arthralgia, cardiac disorder, cardiac failure congestive, chest pain, cholecystitis, cholestasis, connective tissue disorder, cough, decreased appetite","c-reactive protein increased, injection site haematoma",,renal colic,"costovertebral angle tenderness, gastrointestinal stoma complication"
temazepam,"abdominal discomfort, abnormal dreams, ageusia, aggression, agitation, agranulocytosis, alopecia, amnesia, anxiety, apnoea, asthenia, ataxia","coma, gastrointestinal tract irritation, inappropriate antidiuretic hormone secretion, obstructive airways disorder, sleep apnoea syndrome",,disinhibition,
temozolomide,"abdominal distension, abdominal pain, abnormal behaviour, affect lability, agitation, alanine aminotransferase increased, alopecia, altered state of consciousness, alveolitis, amenorrhoea, amnesia, anaemia","acute leukaemia, aplastic anaemia, brain oedema, cerebral ischaemia, condition aggravated, hemianopia, hemiplegia, hyperacusis, myelodysplastic syndrome, paresis","platelet disorder, pulmonary fibrosis","astrocytoma, hyperadrenocorticism, infertility, metastatic neoplasm, myeloid leukaemia, pneumocystis jirovecii pneumonia",brain stem glioma
temsirolimus,"abdominal distension, abdominal pain, abscess, acne, ageusia, alanine aminotransferase increased, alveolitis, anaemia, anaphylactic shock, angioedema, angiopathy, anxiety","alveolitis allergic, exfoliative rash, lacrimal structural disorder, oedema genital, pruritus generalised, rhabdomyolysis, scrotal oedema, venous thrombosis, wound complication","eosinophilic pneumonia, postoperative wound infection, pulmonary fibrosis","cervicobrachial syndrome, complex regional pain syndrome, pneumocystis jirovecii pneumonia","anal candidiasis, duodenal perforation, ophthalmic herpes zoster"
terbinafine,"abdominal discomfort, abdominal pain, abdominal pain upper, ageusia, agranulocytosis, alopecia, anaemia, anaphylactic shock, angioedema, angiopathy, anxiety, arthralgia","anaphylactoid reaction, blood disorder, drug eruption, ear disorder, hypogeusia, liver disorder, rhabdomyolysis, serum sickness, traumatic liver injury","acute generalised exanthematous pustulosis, foetor hepaticus, serum sickness-like reaction, systemic lupus erythematosus, toxic skin eruption","anosmia, dermatitis psoriasiform, hyposmia, vasculitis gastrointestinal","photodermatosis, polymorphic light eruption"
terlipressin,"abdominal pain, acute coronary syndrome, angiopathy, atrial fibrillation, bradycardia, cardiac disorder, cardiac failure, chest pain, cyanosis, diarrhoea, dyspnoea, fluid overload","peripheral ischaemia, respiratory failure, torsade de pointes","blood creatinine decreased, injection site necrosis","intestinal ischaemia, mesenteric vascular insufficiency, pregnancy, uterine hypertonus, vasoconstriction",
tesamorelin,"abdominal pain upper, angiopathy, arthralgia, blood creatine phosphokinase increased, cardiac disorder, carpal tunnel syndrome, chest pain, connective tissue disorder, depression, dermatitis, dyspepsia, gastrointestinal disorder","injection site haemorrhage, injection site irritation, muscle strain",,antibody test positive,
testosterone,"abdominal pain, abdominal pain upper, abnormal dreams, acne, activated partial thromboplastin time prolonged, acute coronary syndrome, affect lability, affective disorder, aggression, agitation, alanine aminotransferase increased, alopecia","anaphylactoid reaction, appetite disorder, blood pressure systolic increased, blood testosterone decreased, breast cyst, breast induration, cerebral infarction, cognitive disorder, coronary artery disease, cyst","blood pressure diastolic decreased, coronary artery occlusion, enlarged clitoris, gingival recession, haemarthrosis, hepatic cancer, hepatic neoplasm, hepatocellular carcinoma","abdominal symptom, administration site reaction, androgenetic alopecia, application site induration, atrophy, benign prostatic hyperplasia, blood testosterone increased, cerebrovascular insufficiency","abnormal clotting factor, blood testosterone free increased, blood urea normal, buccal mucosal roughening, clitoral engorgement, gastrointestinal hypomotility, gingival blister, gingival erythema"
tetrabenazine,"abdominal pain upper, agitation, akathisia, angiopathy, anxiety, asthenia, ataxia, balance disorder, body temperature decreased, body temperature increased, bradycardia, bradykinesia","autonomic nervous system imbalance, blood disorder, drooling, muscle injury, obsessive-compulsive disorder",neuroleptic malignant syndrome,,
tetracaine,"agitation, anaphylactic shock, cardiac arrest, chills, conjunctival hyperaemia, convulsion, dizziness, hypersensitivity, hypotension, iritis, keratitis, loss of consciousness","corneal oedema, paralysis","arachnoiditis, meningism, necrosis",,post lumbar puncture syndrome
tetrofosmin,"abdominal discomfort, abdominal pain, angina pectoris, arrhythmia, asthenia, body temperature increased, bronchospasm, cough, dermatitis, dermatitis atopic, dizziness, dysgeusia",torsade de pointes,respiratory arrest,cardiac death,
thalidomide,"abdominal distension, abdominal pain, acne, acute coronary syndrome, affect lability, agitation, agranulocytosis, alanine aminotransferase increased, albuminuria, alopecia, altered state of consciousness, amblyopia","acute leukaemia, acute myeloid leukaemia, anaemia macrocytic, aplastic anaemia, benign neoplasm of skin, blood disorder, cerebral ischaemia, drug interaction, emphysema, grand mal convulsion","amyloidosis, arterial thrombosis, blood creatinine decreased, foetor hepaticus, hormone level abnormal, ichthyosis, ichthyosis acquired, inner ear disorder","acquired immunodeficiency syndrome, autoimmune disorder, chronic myeloid leukaemia, complex regional pain syndrome, demyelination, embolism arterial, erythroleukaemia, gingival disorder","bronchopneumopathy, disability, diverticular perforation, spleen palpable"
theophylline,"abdominal pain, abdominal pain upper, agitation, albuminuria, alopecia, anaphylactic shock, anxiety, arrhythmia, atrial fibrillation, blood uric acid increased, body temperature increased, cardiac flutter","anaphylactoid reaction, coma, inappropriate antidiuretic hormone secretion, poisoning, rhabdomyolysis, status epilepticus, venous thrombosis",respiratory arrest,"atrial tachycardia, brain injury, cardio-respiratory arrest, haemodynamic instability, hypoxic-ischaemic encephalopathy",overdose
thiotepa,"abdominal pain, agitation, agranulocytosis, alanine aminotransferase increased, alopecia, amenorrhoea, amylase increased, anaemia, angiopathy, anxiety, arrhythmia, arthralgia","acute leukaemia, acute myeloid leukaemia, bladder disorder, cognitive disorder, cyst, enteritis, leukoderma, menopause, mental status changes, myelodysplastic syndrome","cystitis haemorrhagic, graft versus host disease, hypogonadism, hypopituitarism, infertility male, intracranial aneurysm, meningism, respiratory arrest","chemical cystitis, chronic graft versus host disease, erythrodermic psoriasis, infertility female, meningitis chemical, myeloid leukaemia","acute graft versus host disease, blood electrolytes abnormal, cardiovascular insufficiency, eosinophilic cystitis, idiopathic pneumonia syndrome"
thiothixene,"abnormal behaviour, agitation, agranulocytosis, akathisia, amenorrhoea, anaphylactic shock, asthenia, breast enlargement, cardiac arrest, constipation, convulsion, cough","brain oedema, haemolytic anaemia, tardive dyskinesia","asphyxia, hyperprolactinaemia, hyperpyrexia, miosis, neuroleptic malignant syndrome","pregnancy test false positive, protrusion tongue",
tiagabine,"abdominal pain, abnormal dreams, abscess, acute coronary syndrome, affect lability, ageusia, agitation, alopecia, amblyopia, amenorrhoea, anaemia, angina pectoris","abnormal faeces, abortion, benign neoplasm of skin, blindness, central nervous system neoplasm, cerebral ischaemia, coma, fibrocystic breast disease, hemiplegia, hernia",,,
ticagrelor,"abdominal pain, angioedema, angiopathy, asthenia, atrial fibrillation, back pain, blood creatinine increased, blood uric acid increased, blood urine present, body temperature increased, bone disorder, bradycardia","catheter site haemorrhage, haemorrhagic stroke, increased tendency to bruise, injection site haemorrhage, presyncope, procedural haemorrhage, retroperitoneal haemorrhage, skin haemorrhage, traumatic haematoma, traumatic haemorrhage","cardiac tamponade, gastric ulcer haemorrhage, haemarthrosis, haemorrhage urinary tract","ear haemorrhage, haemorrhage subcutaneous, intestinal haemorrhage, peptic ulcer haemorrhage, puncture site haemorrhage","dyspnoea at rest, dyspnoea paroxysmal nocturnal, gastrointestinal ulcer haemorrhage, gouty arthritis, hypovolaemic shock, nocturnal dyspnoea, subcutaneous haematoma, ulcer haemorrhage"
tigecycline,"abdominal distension, abdominal pain, abscess, activated partial thromboplastin time prolonged, alanine aminotransferase increased, amylase increased, anaemia, anaphylactic shock, angiopathy, aspartate aminotransferase increased, asthenia, atrial fibrillation","abnormal faeces, acidosis, anaphylactoid reaction, benign intracranial hypertension, increased bronchial secretion, injection site phlebitis, international normalised ratio increased, osteomyelitis, peritonitis, scrotal oedema","creatinine renal clearance decreased, prothrombin level decreased, tooth discolouration, vulvovaginal disorder","device malfunction, prothrombin time shortened",diabetic foot infection
timolol,"abdominal pain, abnormal dreams, affect lability, agranulocytosis, alopecia, amnesia, anaphylactic shock, angina pectoris, angioedema, angiopathy, anxiety, arrhythmia","cardiac failure acute, catatonia, cerebral ischaemia, coronary artery disease, ear infection, intermittent claudication, laryngospasm, macular oedema, respiratory failure, retinal vascular disorder","arterial thrombosis, fibrosis, hypoaesthesia eye, myasthenia gravis, peyronie's disease, retroperitoneal fibrosis, systemic lupus erythematosus, thrombocytopenic purpura","bronchial obstruction, choroidal detachment, dermatitis psoriasiform, device capturing issue, eyelid ptosis, purpura non-thrombocytopenic, serositis, sinoatrial block",
tinidazole,"abdominal pain, angioedema, angiopathy, arthralgia, arthritis, aspartate aminotransferase increased, asthenia, ataxia, blood bilirubin increased, blood urea increased, body temperature increased, bronchospasm","coma, eosinophil count increased, tongue discolouration, vulvovaginal discomfort",,,vaginal odour
tiopronin,"abdominal distension, abdominal pain, anaemia, arthralgia, asthenia, body temperature increased, chills, decreased appetite, dermatitis, diarrhoea, dyspnoea, ecchymosis","hypogeusia, laryngeal oedema, nephropathy, nephrotic syndrome","antinuclear antibody positive, bronchiolitis, pemphigus, skin wrinkling, systemic lupus erythematosus",myasthenic syndrome,"elastosis perforans, vitamin b6 deficiency"
tipranavir,"abdominal distension, abdominal pain, abdominal pain upper, alanine aminotransferase increased, amylase increased, anaemia, aspartate aminotransferase increased, asthenia, blood bilirubin increased, blood triglycerides increased, body temperature increased, bone disorder","blood disorder, cyst, drug eruption, hepatic steatosis, hepatitis toxic, hyperamylasaemia, lipohypertrophy, liver disorder, myositis, polyp","facial wasting, haemarthrosis, muscle haemorrhage","autoimmune disorder, basedow's disease, hepatitis b, insulin resistance, oesophageal candidiasis, pneumocystis jirovecii pneumonia, pregnancy, progressive multifocal leukoencephalopathy","cytomegalovirus chorioretinitis, mitochondrial toxicity, pneumonia streptococcal"
tirofiban,"anaphylactic shock, body temperature increased, bradycardia, chills, dizziness, haematemesis, haematuria, haemoglobin, haemoglobin decreased, haemoptysis, haemorrhage, haemorrhage intracranial","acute myocardial infarction, retroperitoneal haemorrhage",cardiac tamponade,pericardial haemorrhage,spinal epidural haematoma
tizanidine,"abdominal pain, abnormal dreams, abscess, acute coronary syndrome, affect lability, agitation, agranulocytosis, alanine aminotransferase increased, albuminuria, alopecia, amblyopia, anaemia","adrenal insufficiency, autonomic nervous system imbalance, cerebral infarction, coronary artery disease, disseminated intravascular coagulation, hemiplegia, hepatic cirrhosis, liver disorder, paralysis, respiratory acidosis","congenital anomaly, developmental delay, foetor hepaticus, hepatic cancer, hepatic necrosis, hepatitis fulminant, hepatocellular carcinoma, optic atrophy","cardio-respiratory arrest, hepatic fibrosis",
tobramycin,"abdominal pain, agranulocytosis, anaemia, anaphylactic shock, angioedema, angiopathy, aphonia, apnoea, application site pain, aspartate aminotransferase increased, asthenia, asthma","blood calcium decreased, conjunctival disorder, corneal abrasion, drug interaction, eyelid disorder, hypoalbuminaemia, increased bronchial secretion, leukoderma, red blood cell sedimentation rate increased, sputum increased","blood creatinine decreased, eye allergy, immunoglobulins increased, ocular toxicity","forced expiratory volume decreased, hypouricaemia","deafness unilateral, metabolic syndrome"
tofacitinib,"abdominal pain, anaemia, arthralgia, asthenia, blood creatinine increased, body temperature increased, bone disorder, breast cancer, cellulitis, cough, dehydration, dermatitis","cyst, hepatic steatosis, high density lipoprotein decreased, low density lipoprotein increased, malignant melanoma, polyp, prostate cancer","drug-induced liver injury, high density lipoprotein increased",,disseminated tuberculosis
tolcapone,"abdominal pain, abnormal dreams, abscess, acute coronary syndrome, affect lability, agitation, alanine aminotransferase increased, alopecia, amnesia, anaemia, angina pectoris, angiopathy","abnormal faeces, antisocial behaviour, antisocial personality disorder, aortic valve stenosis, arterial spasm, arteriosclerosis, asocial behaviour, binge eating, breast neoplasm, cerebral ischaemia","acute hepatic failure, calculus bladder, fall, gastric atony, leukaemia, neuroleptic malignant syndrome, uterine neoplasm","hepatitis viral, neoplasm skin",
tolterodine,"abdominal pain, accommodation disorder, anaphylactic shock, angioedema, anxiety, arthralgia, asthenia, bronchitis, chest pain, confusional state, constipation, delusion",anaphylactoid reaction,,,
tolvaptan,"alanine aminotransferase increased, anaphylactic shock, angiopathy, aspartate aminotransferase increased, asthenia, blood bilirubin increased, blood creatinine increased, blood uric acid increased, blood urine present, body temperature increased, breast disorder, cardiac disorder","disseminated intravascular coagulation, respiratory failure, rhabdomyolysis",diabetic ketoacidosis,osmotic demyelination syndrome,intracardiac thrombus
